[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230915-183042]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230915-183110]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230915-182945]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230916-203840]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230916-213239]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230916-210803]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230916-213220]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-134338]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-134513]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-134600]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-134440]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-134411]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-145946]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-145914]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-145923]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-155908]
