[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-204820]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-204815]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-204833]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-204817]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-212936]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-212920]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-212944]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-213549]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-213643]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-213709]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-213610]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-213729]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-213751]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215031]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215129]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215055]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215214]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215317]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215336]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215234]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230917-215431]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-001131]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-001437]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-001152]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230918-001529]
